xnr,material,flake_(n),blade_(n),blade_fragment_(n),core_(n),blade_retouche_(n),blade_fragment_retouche_(n),flake_retouche_(n),flake_burin_(n),blade_burin_(n),blade_burin_fragment_(n),flake_scraper_(n),blade_scraper_(n),blade_scraper_fragment_(n),borer_blade_(n),borer_blade_fragment_(n),combination_tool_(n),zinken_(n),zinken_borer_fragment_(n),projectile_(n),cortex,retouche,patina_white,patina_yellow,burnt,grid,square,spit,north,east,comment
427,flint,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,y,205A,0-10,,,
428,flint,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,205B,0-10,,,
429,flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,205C,0-10,,,
430,flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,205D,0-10,,,
431,flint,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,162A,0-10,,,
432,flint,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,y,162B,0-10,,,
433,flint,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,162D,0-10,,,
434,flint,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,217A,0-10,,,
435,flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,217B,0-10,,,
436,flint,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,217C,0-10,,,
437,flint,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,213A,0-10,,,
438,flint,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,213B,0-10,,,
439,flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,213C,0-10,,,
440,flint,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,y,213C,0-10,,,
441,flint,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,y,201,ploughsoil,,,
442,flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,201A,0-10,,,
443,flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,201B,0-10,,,
444,flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,201C,0-10,,,
445,flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,y,201D,0-10,,,
446,flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,209D,0-10,,,
447,flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,208A,0-10,,,
448,flint,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,204A,0-10,,,
449,flint,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,204C,0-10,,,
450,flint,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,y,210A,0-10,,,
451,flint,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,210A,0-10,,,
452,flint,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,230A,0-10,,,
453,flint,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,230B,0-10,,,
454,flint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,230C,0-10,,,
455,flint,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,164A,0-10,,,
456,flint,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,164B,0-10,,,
457,flint,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,y,164C,0-10,,,
458,flint,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,164D,0-10,,,
459,flint,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,162C,0-10,,,
460,flint,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,y,161A,0-10,,,
