square,north,east,flake_(n),blade_(n),blade_fragment_(n),core_(n),burin_flake_(n),burin_blade_(n),burin_blade_fragment_(n),scraper_flake_(n),scraper_blade_(n),scraper_blade_fragment_(n),borer_(n),borer_fragment_(n),borer_blade_fragment_(n),zinken_(n),zinken_fragment_(n),projectile_(n),total_count,cortex,retouche,patina_white,patina_yellow,burnt
97,4,6,35,,,1,,,,,,1,,,,,,,37,2,2,5,,0
98,4,8,9,,,,,,,,,,,,,,,,9,,,4,,0
99,4,10,4,,,,,,,,,,,,,,,,4,,,1,,0
100,9,3,7,,,,,,,,,,,,,,,,7,1,,,,0
101,9,4,19,,1,,,,,,,,,,,,,,20,3,,1,,1
102,9,5,2,1,,,,,,,,,,,,,,,3,2,,1,,0
103,9,6,5,,,,,,,,,,,,,,,,5,,,,,0
104,9,7,6,3,2,,,,,,,,,,1,,,,12,1,1,2,,0
105,9,8,4,1,3,,,1,,,,,,,,,,,9,3,2,1,,0
106,9,9,8,,3,,,,,,,,,,,,1,,12,,1,,,0
107,9,10,1,,,,,,,,,,,,,,,,1,1,,,,0
108,9,11,,,,,,,,,,,,,,,,,0,,,,,0
109,8,3,1,,,,,,,,,,,,,,,,1,1,,,,0
110,8,4,35,,2,,,,,,,,,,,,,,37,1,2,3,,0
111,8,5,39,1,7,2,1,,,,,,,,,,,,50,1,5,10,,1
112,8,6,47,8,8,,,,,,1,1,,,,,,,65,2,5,10,,1
113,8,7,180,15,26,4,,2,1,,2,2,,,2,,,1,235,2,10,46,,4
114,8,8,19,,,,,,,,,,,,,1,,,20,,,1,,1
115,8,9,30,,,,,,,,,,,,,,,,30,,,,,0
116,8,10,16,1,,,,1,,,,,,,,,,,18,1,1,1,,1
117,8,11,11,1,,,,,,,1,2,,,,,,1,16,,4,4,,1
118,7,3,1,,,,,,,,,,,,,,,,1,,,,,0
119,7,4,11,,,,,,,,,,,,,,,,11,1,,,,0
120,7,5,14,3,1,,,,,,,,,,,,,,18,,,2,,0
121,7,6,27,,5,,,,,,,,,,,,,,32,3,1,6,,0
122,7,8,20,1,1,,,,,,,,,,,,,,22,2,2,1,,0
123,7,10,8,,2,,,,,,,,,1,,,,,11,,,4,,0
124,6,3,,,,,,,,,,,,,,,,,0,,,,,0
125,6,4,7,,1,,,,,,,1,,,,,,1,10,1,3,2,,0
126,6,5,8,1,,,,,,,,,,,,,,,9,1,,1,,0
127,6,6,19,1,1,,,,,,,,,,,,,,21,,,10,,0
128,6,7,13,1,,,,,1,,,,,,,,,,15,,,3,,1
129,6,8,19,3,3,,,,,,1,,,,,,,,26,,2,15,,0
130,6,9,7,,,,,,,,,,,,,,,,7,1,,,,0
131,6,10,14,,,,,,,,,,,,,,,,14,,,,,0
132,6,11,7,1,,,,,,,,,,,,,,,8,,1,,,0
133,5,3,2,,,,,,,,,,,,,,,,2,1,,,,0
134,5,4,3,,1,,,,,,,,,,,,,,4,,,1,,0
135,5,5,7,1,,,,,,,,1,,,,,,,9,,,5,,0
136,5,6,15,,,,,,,,,,,,,,,,15,2,,2,,0
137,5,7,2,,,,,,,,,,,,,,,,2,1,1,,,0
138,5,8,7,,,,,,,,,,,,,,,,7,,,,,0
139,5,9,3,,,,,,,,,,,,,,,,3,,,,,0
140,5,10,12,,,,,,,,,,,,,,,,12,,,,,0
141,5,11,6,,,,,,,,,,,,,,,,6,1,,,,0
142,4,3,1,,,,,,,,,,,,,,,,1,,,,,0
143,4,4,15,,,,,,,,,,,,,,,,15,,,1,,0
144,4,5,9,,,,,,,,,,,,,1,,,10,,,1,,0
145,4,7,12,,,1,,,,,,,,,,,,,13,,1,4,,0
146,4,9,7,,,,,,,,,,,,,,,,7,3,1,1,,0
147,4,11,6,,,,,,,,,,,,,,,,6,2,,,,0
148,3,3,,,,,,,,,,,,,,,,,0,,,,,0
149,3,4,9,,,,,,,,,,,,,,,,9,1,,3,,0
150,3,5,6,1,,,,,,,,,,,,,,,7,,,1,,0
151,3,6,11,,,,,,,,,,,,,,,,11,1,,2,,1
152,3,7,9,,,1,,,,,,,,,,,,,10,,1,2,,0
153,3,8,16,,,,,,,,,,,,,,,,16,1,,,,0
154,3,9,15,,,,,,,,,,,,,,,,15,2,,,,0
155,3,10,32,,,,,,,,,,,,,,,,32,,,,,0
156,3,11,28,,,1,,,,,,,1,,,,,,30,,1,,,0
157,2,3,,1,,,,,,,,,,,,,,,1,,,1,,0
158,2,4,20,,,,,,,,,,,,,,,,20,,,1,,0
159,2,5,23,,,,,,,,,,,,,,,,23,,1,,,1
160,2,6,3,,1,,,,,,,,,,,,,,4,,,1,,0
161,2,7,6,,2,,,,,,,,,,,,,,8,,,2,,0
162,2,8,19,,,,,,,,,,,,,,,,19,1,,,,0
163,2,9,19,,,1,,,,,,,,,,,,,20,,,1,,0
164,2,10,14,,,1,,,,,,,,,,,,,15,,,,,1
165,2,11,18,1,,,,,,,,1,,,,,,,20,1,1,,,0
166,1,3,,,,,,,,,,,,,,,,,0,,,,,0
167,1,4,5,,,,,,,,,,,,,,,,5,,,,,0
168,1,5,5,2,,,,,,,,,,,,,,,7,1,,1,,0
169,1,6,7,1,,,,,,,,,,,,,,,8,,,1,,0
170,1,7,7,,,,,,,,,,,,,,,,7,,,,,0
171,1,8,5,,,,,,,,,,,,,,,,5,,,,,0
172,1,9,5,,,,,,,,,,,,,,,,5,1,,1,,0
173,1,10,1,,1,,,,,,,,,,,,,,2,,,1,,0
174,1,11,6,,,,,,,,,,,,,,,,6,1,,,,0
175,0,3,,,,,,,,,,,,,,,,,0,,,,,0
176,0,4,6,,,,,,,,,,,,,,,,6,,,,,0
177,0,5,6,,,,,,,,,,,,,,,,6,,,1,,0
178,0,6,6,,,,,,,,,,,,,,,,6,,,1,,0
179,0,7,7,,,,,,,,,,,,,,,,7,1,,,,0
180,0,8,4,,,,,,,,,,,,,,,,4,,,,,0
181,0,9,5,,,,,,,,,,,,,,,,5,1,,,,0
182,0,10,4,,1,,,,,,,,,,,,,,5,2,,,,0
183,0,11,2,,,,,,,,,,,,,,,,2,,,,,0
184,17,12,,,,,,,,,,,,,,,,,0,,,,,0
185,16,12,,,,,,,,,,,,,,,,,0,,,,,0
186,15,12,,,,,,,,,,,,,,,,,0,,,,,0
187,14,12,,,,,,,,,,,,,,,,,0,,,,,0
188,14,13,,,,,,,,,,,,,,,,,0,,,,,0
189,13,12,1,,,,,,,,,,,,,,,,1,,,,,0
190,13,13,,,,,,,,,,,,,,,,,0,,,,,0
191,12,12,,,,,,,,,,,,,,,,,0,,,,,0
192,12,13,,,,,,,,,,,,,,,,,0,,,,,0
193,11,12,,,,,,,,,,,,,,,,,0,,,,,0
194,11,13,,,,,,,,,,,,,,,,,0,,,,,0
195,11,14,,,,,,,,,,,,,,,,,0,,,,,0
196,10,12,,,,,,,,,,,,,,,,,0,,,,,0
197,10,13,,,,,,,,,,,,,,,,,0,,,,,0
198,10,14,,,,,,,,,,,,,,,,,0,,,,,0
199,9,12,,,,,,,,,,,,,,,,,0,,,,,0
200,9,13,,,,,,,,,,,,,,,,,0,,,,,0
201,8,12,4,,,,,,,,,,,,,,,,4,,,1,,0
202,7,12,,,,,,,,,,,,,,,,,0,,,,,0
203,6,12,2,1,,,,,,,,,,,,,,,3,2,,1,,0
204,5,12,4,,,,,,,,,,,,,,,,4,,,,,0
205,8,13,5,1,,,,,,,,,,,,,,,6,1,,,,0
206,4,12,,,,,,,,,,,,,,,,,0,,,,,0
207,3,12,7,,,,,,,,,,,,,,,,7,1,,,,0
208,2,12,6,,,,,,,,,,,,,,,,6,,1,,,0
209,1,12,7,,,,,,,,,,,,,,,,7,1,,,,0
210,0,12,,,,1,,,,1,,,,,,,,,2,1,1,1,,0
211,7,13,9,,,,,,,,,,,,,,,,9,,,,,0
212,6,13,6,,,,,,,,,,,,,,,,6,,1,,,0
213,5,13,8,1,,,,,,,,,,,,,,,9,,,1,,0
214,9,14,,,,,,,,,,,,,,,,,0,,,,,0
215,8,14,9,,,,,,,,,,,,,,,,9,1,,,,0
216,7,14,,,,,,,,,,,,,,,,,0,,,,,0
217,6,14,6,,,,,,,,,,,,,,,,6,,,,,0
218,12,14,,,,,,,,,,,,,,,,,0,,,,,0
219,21,11,,,,,,,,,,,,,,,,,0,,,,,0
220,21,12,,,,,,,,,,,,,,,,,0,,,,,0
221,21,13,,,,,,,,,,,,,,,,,0,,,,,0
222,20,6,5,,,,,,,,,,,,,,,,5,1,,,,0
223,20,7,5,,,,,,,,,,,,,,,,5,,,,,0
224,20,8,,,,,,,,,,,,,,,,,0,,,,,0
